Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,4le816q3ac1isre8sala3iwyy,618724,S. Rea,Sean Rea,Centre Forward,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,427374,Sean,Rea,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Valour,8,710,20,0,1,1,5,1,4,1,5,8,8,0,0,0,2,0,0,2,2,0,0,0,0,2,4,9,43,14,220,44,119,1.49,2,3,1.79,0,1,9,10,19,45,2,0,40,15,3,1,425,56,3,8,1,13,57.90%,1,0,49,4,1,4,4,3,7,3,2,0,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,10,11,222,43,160,13,34.10%,74.10%,81,70,12,98,101,21,0.00%,3,11.38,0,47,5,5,5,3,0.59,0.91,0.59,0.91,1.49,16,0,0.08,19,0.3,0.31,42.50%,22,188,111,15,111,,PAC vs VAL,TRUE,FALSE,TRUE,FALSE,FALSE,4/17/2022,7tnrk7s1kn6cat4od23gqvl04,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Pacific,Valour,VAL,3,2,Played,W 3-2,2276223,PAC vs VAL (2022-04-17)
2,cqu6f2gdqsceak3ifi433tyvp,238810,J. Gagnon-Laparé,Jérémy Gagnon-Laparé,Central Midfielder,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,170868,Jérémy,Gagnon-Laparé,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,HFX Wanderers,9,765,27,1,0,0,1,1,0,1,2,5,4,1,0,0,2,0,0,0,0,0,1,1,0,0,4,0,77,17,479,198,187,0.56,0,0,1.93,0,1,9,9,18,4,0,0,59,2,1,0,655,44,11,16,9,54,79.40%,16,12,55,2,3,7,1,4,12,0,3,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,16,148,150,357,14,30.50%,80.40%,241,60,84,82,300,97,59.10%,22,10.63,0,27,30,30,18,6,0.25,0.31,0.25,0.31,0.56,18,2,0.06,9,0.33,0.17,39.70%,18,193,129,20,129,,FOR vs ATO,TRUE,FALSE,FALSE,TRUE,FALSE,5/14/2022,7ve593zeywji6ty225c3mb9ck,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Forge,Atlético Ottawa,ATO,1,1,Played,T 1-1,2276237,FOR vs ATO (2022-05-14)
3,37pbdttxfaqvayoufo0q0dxey,672862,D. Abzi,Diyaeddine Abzi,Left Back,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,453335,Diyaeddine,Abzi,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,York United,8,657,23,1,0,0,5,1,4,0,3,5,0,4,0,0,3,0,0,0,0,0,0,0,0,0,7,3,42,32,298,119,105,0.79,0,1,1.05,1,2,5,9,14,32,2,2,52,14,0,0,554,42,7,16,5,35,74.20%,6,3,77,4,3,3,2,3,7,1,3,0,1,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,6,177,156,221,17,39.30%,75.20%,135,29,60,43,166,89,50.00%,6,5.87,0,41,21,21,6,8,0.5,0.29,0.5,0.29,0.79,13,1,0.06,13,0.27,0.25,41.40%,18,156,120,16,120,,PAC vs VAL,FALSE,TRUE,FALSE,TRUE,FALSE,5/28/2022,7wbfumbhncegii9hi6bdw2zv8,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Valour,Pacific,PAC,2,2,Played,T 2-2,2276245,PAC vs VAL (2022-05-28)
3,7ao58e6608lb8eu3dmk17jisp,212957,O. Bassett,Ollie Bassett,Central Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,217111,Ollie,Bassett,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Atlético Ottawa,9,794,24,0,3,1,3,2,1,2,3,1,1,0,1,1,1,0,2,0,1,0,0,0,0,2,0,4,39,20,376,135,182,1.4,2,1,1.29,2,3,6,8,14,8,0,0,24,3,3,3,498,35,7,4,12,25,40.70%,1,0,68,1,0,4,0,3,5,1,3,0,0,0,0,0,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,7,141,88,269,7,30.30%,84.30%,197,67,53,81,230,65,50.00%,4,12.16,2,36,12,12,11,2,0.58,0.82,0.58,0.82,0.61,13,0,0.16,9,0.31,0.1,40.30%,16,189,146,12,146,,CAV vs VAL,TRUE,FALSE,TRUE,FALSE,FALSE,5/21/2022,7vz7ogr3qot0jitz8g3mi79jo,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Cavalry,Valour,VAL,2,1,Played,W 2-1,2276242,CAV vs VAL (2022-05-21)
5,7t6lyj5pvvgzfscj775acuqc5,233123,M. Bustos,Marco Bustos,Right Winger,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,173165,Marco,Bustos,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Winger,Pacific,11,925,26,0,4,0,10,6,4,4,3,6,4,2,1,0,1,0,0,0,0,0,0,0,0,0,13,3,48,8,375,91,228,2.36,0,4,2.41,5,5,4,8,12,36,5,3,59,18,5,3,589,48,10,9,5,24,82.60%,0,0,49,1,0,4,4,1,12,3,3,0,0,0,0,0,11,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,14,310,31,248,38,25.30%,85.10%,165,142,12,172,187,16,38.50%,13,11.44,0,44,8,8,10,6,1.9,0.46,1.9,0.46,2.09,8,0,0.1,23,0.27,0.31,38.10%,30,235,150,25,150,,HFX vs EDM,TRUE,FALSE,TRUE,FALSE,FALSE,4/30/2022,7uhzvzsjqt3x7sbx714u496ok,73xrv2025rnj0t3y9ayp83bec,6925,6925,HFX Wanderers,Edmonton,EDM,3,1,Played,W 3-1,2276230,HFX vs EDM (2022-04-30)
5,2zedqkn15thv6wx5xmgv48gd1,195042,K. Bekker,Kyle Bekker,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,140123,Kyle,Bekker,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,8,609,31,1,3,0,4,0,4,1,1,5,4,1,0,0,2,0,0,0,0,0,0,0,0,0,3,6,48,13,389,143,185,0.49,0,2,1.11,0,2,7,5,12,4,0,0,10,0,1,1,478,13,0,5,7,12,83.30%,0,0,39,3,1,2,0,2,2,1,3,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,2,139,61,278,5,25.40%,84.30%,219,68,41,80,259,50,50.00%,2,6.59,0,33,3,3,8,1,0.23,0.26,0.23,0.26,0.49,10,1,0.04,11,0.24,0.15,45.80%,13,133,68,12,68,,YRK vs HFX,TRUE,FALSE,FALSE,FALSE,TRUE,4/7/2022,7snp2xnuij3sfcod749flhes4,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,York United,HFX Wanderers,HFX,0,1,Played,L 0-1,2276216,YRK vs HFX (2022-04-07)
5,97h9y7sc3o8e0gvazfd375cdl,504778,S. Gutiérrez,Sebastián Gutiérrez,Left Attacking Midfielder,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,233484,Sebastián,Gutiérrez,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,York United,8,473,24,2,6,1,4,2,2,2,2,5,1,4,0,0,0,0,1,0,1,0,1,0,1,0,1,7,37,8,130,32,53,1.37,1,1,0.73,1,2,3,9,12,23,4,2,38,9,1,1,258,55,9,15,7,31,57.10%,0,0,27,8,0,8,0,1,4,2,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,7,109,41,108,20,29.20%,65.40%,44,30,11,47,66,17,0.00%,3,5.78,1,10,7,7,15,9,1.33,0.04,1.33,0.04,1.37,11,1,0.11,13,0.5,0.44,41.10%,10,179,138,11,138,,ATO vs VAL,FALSE,TRUE,TRUE,FALSE,FALSE,4/24/2022,7u4m1n8m79feixw87wrpd6vis,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Valour,Atlético Ottawa,ATO,6,1,Played,W 6-1,2276227,ATO vs VAL (2022-04-24)
5,83d29e64znddf9kkyo62u4g6h,560974,N. Verhoeven,Noah Verhoeven,Central Midfielder,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,424288,Noah,Verhoeven,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,York United,8,709,22,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51,19,362,148,144,0.02,0,0,0.54,0,0,7,5,12,7,0,0,23,5,1,0,465,36,4,7,5,20,44.00%,4,1,54,3,0,7,0,2,3,1,3,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,8,77,88,300,1,35.40%,80.70%,216,30,46,37,261,64,50.00%,4,8.28,0,35,11,11,8,1,0.02,0,0.02,0,0.02,12,0,0.01,2,0.43,0.38,39.60%,13,141,115,12,115,,ATO vs PAC,TRUE,FALSE,FALSE,FALSE,TRUE,5/7/2022,7v9u5fh5vipqr6u1sv48vh2j8,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Atlético Ottawa,Pacific,PAC,0,1,Played,L 0-1,2276236,ATO vs PAC (2022-05-07)
9,bwozu57m3yt2hypmbqe1hlbyt,313308,M. Dyer,Moses Dyer,Centre Forward,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,210152,Moses,Dyer,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Valour,8,678,25,1,1,0,10,9,1,8,0,8,2,4,2,2,1,0,3,0,1,0,2,2,0,3,4,10,62,9,173,35,67,3.05,3,1,1.03,4,1,3,7,10,29,2,0,55,9,1,0,340,74,4,4,4,17,88.90%,5,5,26,7,1,4,12,0,7,2,2,0,0,0,0,0,9,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,8,18,178,21,141,46,33.50%,59.00%,54,42,6,73,90,10,41.70%,48,12.01,3,4,7,7,8,2,1.68,1.37,1.68,1.37,2.08,9,0,0.12,26,0.5,0.5,42.00%,18,211,121,25,121,,EDM vs ATO,FALSE,TRUE,TRUE,FALSE,FALSE,5/22/2022,7w3cr8d8o97ighxffac7o2qdw,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,1,Played,W 2-1,2276243,EDM vs ATO (2022-05-22)
9,lu6un7dbprss3ptkqtv9tk9,285484,B. Tabla,Ballou Tabla,Right Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,225063,Ballou,Tabla,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Midfielder,Atlético Ottawa,9,686,23,0,8,0,7,6,1,2,5,6,2,4,0,0,0,0,1,0,1,0,0,0,0,1,2,11,23,6,190,54,107,1.9,1,3,1.82,2,4,1,9,10,34,6,4,50,19,2,1,344,42,5,2,4,12,63.60%,1,0,34,3,0,5,5,2,15,3,2,0,0,0,0,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,14,139,32,173,34,30.00%,84.70%,91,55,15,65,109,16,33.30%,6,10.8,1,11,4,4,7,1,1.78,0.12,1.78,0.12,1.9,7,0,0.09,20,0.27,0.27,40.30%,12,189,146,14,146,,ATO vs CAV,FALSE,TRUE,FALSE,FALSE,TRUE,4/9/2022,7svngikxjdp572w3h94c27hg4,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Cavalry,Atlético Ottawa,ATO,0,1,Played,L 0-1,2276217,ATO vs CAV (2022-04-09)
